DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,cod_departamento,cod_municipio,region,FEX_C,cant_hog_completos,cant_hogares_vivienda,clase,tipo_vivienda
8371539,1,1,1,Caldas,Manizales,Central,"41,10190239",1,1,Centro poblado / Rural disperso,Casa
8371540,1,1,1,Caldas,Manizales,Central,"102,4523579",1,1,Centro poblado / Rural disperso,Casa
8371541,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371542,1,1,1,Caldas,Manizales,Central,"99,70887477",1,1,Centro poblado / Rural disperso,Casa
8371544,1,1,1,Caldas,Manizales,Central,"70,65447853",1,1,Centro poblado / Rural disperso,Casa
8371545,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371546,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Apartamento
8371547,1,1,1,Caldas,Manizales,Central,"46,72599311",1,1,Centro poblado / Rural disperso,Casa
8371548,1,1,1,Caldas,Manizales,Central,"128,6268275",1,1,Centro poblado / Rural disperso,Casa
8371549,1,1,1,Caldas,Manizales,Central,"70,65447853",1,1,Centro poblado / Rural disperso,Casa
8371550,1,1,1,Caldas,Manizales,Central,"26,97802197",1,1,Centro poblado / Rural disperso,Casa
8371551,1,1,1,Caldas,Manizales,Central,"55,17635178",1,1,Centro poblado / Rural disperso,Casa
8371552,1,1,1,Caldas,Manizales,Central,"43,88678221",1,1,Centro poblado / Rural disperso,Casa
8371553,1,1,1,Caldas,Manizales,Central,"43,88678221",1,1,Centro poblado / Rural disperso,Casa
8371554,1,1,1,Caldas,Manizales,Central,"43,88678221",1,1,Centro poblado / Rural disperso,Casa
8371555,1,1,1,Caldas,Manizales,Central,"43,88678221",1,1,Centro poblado / Rural disperso,Casa
8371556,1,1,1,Caldas,Manizales,Central,"128,6268275",1,1,Centro poblado / Rural disperso,Casa
8371557,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371558,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371559,1,1,1,Caldas,Manizales,Central,"43,88678221",1,1,Centro poblado / Rural disperso,Casa
8371560,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371561,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371562,1,1,1,Caldas,Manizales,Central,"43,88678221",1,1,Centro poblado / Rural disperso,Apartamento
8371563,1,1,1,Caldas,Manizales,Central,"43,88678221",1,1,Centro poblado / Rural disperso,Casa
8371564,1,1,1,Caldas,Manizales,Central,"43,88678221",1,1,Centro poblado / Rural disperso,Casa
8371565,1,1,1,Caldas,Manizales,Central,"75,78038935",1,1,Centro poblado / Rural disperso,Casa
8371566,1,1,1,Caldas,Manizales,Central,"147,705419",1,1,Centro poblado / Rural disperso,Casa
8371568,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371569,1,1,1,Caldas,Manizales,Central,"37,7913268",1,1,Centro poblado / Rural disperso,Casa
8371570,1,1,1,Caldas,Manizales,Central,"41,10190239",1,1,Centro poblado / Rural disperso,Casa
8371571,1,1,1,Caldas,Manizales,Central,"41,10190239",1,1,Centro poblado / Rural disperso,Casa
8371572,1,1,1,Caldas,Manizales,Central,"43,88678221",1,1,Centro poblado / Rural disperso,Casa
8371573,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371574,1,1,1,Caldas,Manizales,Central,"35,05662185",1,1,Centro poblado / Rural disperso,Casa
8371575,1,1,1,Caldas,Manizales,Central,"128,6268275",1,1,Centro poblado / Rural disperso,Casa
8371576,1,1,1,Caldas,Manizales,Central,"97,44958141",1,1,Centro poblado / Rural disperso,Casa
8371577,1,1,1,Caldas,Manizales,Central,"34,52426867",1,1,Centro poblado / Rural disperso,Apartamento
8371578,1,1,1,Caldas,Manizales,Central,"123,6677314",1,1,Centro poblado / Rural disperso,Apartamento
8371579,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8371580,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
